episode_id,layout_id,repeat_id,first_color,second_color,task,source_dataset,source_episode_index,accepted,notes
act_formal_balanced_000,L2,1,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,0,true,derived locally; source datasets preserved
act_formal_balanced_001,L4,1,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,2,true,derived locally; source datasets preserved
act_formal_balanced_002,L5,1,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,3,true,derived locally; source datasets preserved
act_formal_balanced_003,L4,2,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,4,true,derived locally; source datasets preserved
act_formal_balanced_004,L4,3,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,5,true,derived locally; source datasets preserved
act_formal_balanced_005,L1,1,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,7,true,derived locally; source datasets preserved
act_formal_balanced_006,L2,2,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,8,true,derived locally; source datasets preserved
act_formal_balanced_007,L2,3,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,10,true,derived locally; source datasets preserved
act_formal_balanced_008,L3,1,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,11,true,derived locally; source datasets preserved
act_formal_balanced_009,L3,2,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,12,true,derived locally; source datasets preserved
act_formal_balanced_010,L5,2,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,13,true,derived locally; source datasets preserved
act_formal_balanced_011,L4,4,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,14,true,derived locally; source datasets preserved
act_formal_balanced_012,L4,5,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,15,true,derived locally; source datasets preserved
act_formal_balanced_013,L2,4,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,16,true,derived locally; source datasets preserved
act_formal_balanced_014,L3,3,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,17,true,derived locally; source datasets preserved
act_formal_balanced_015,L5,3,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,18,true,derived locally; source datasets preserved
act_formal_balanced_016,L2,5,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,19,true,derived locally; source datasets preserved
act_formal_balanced_017,L3,4,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,20,true,derived locally; source datasets preserved
act_formal_balanced_018,L4,6,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,21,true,derived locally; source datasets preserved
act_formal_balanced_019,L2,6,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,22,true,derived locally; source datasets preserved
act_formal_balanced_020,L5,4,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,23,true,derived locally; source datasets preserved
act_formal_balanced_021,L2,7,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,24,true,derived locally; source datasets preserved
act_formal_balanced_022,L3,5,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,25,true,derived locally; source datasets preserved
act_formal_balanced_023,L1,2,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",raw50,26,true,derived locally; source datasets preserved
