episode_id,layout_id,repeat_id,first_color,second_color,task,planned_order,status,accepted,notes
act_formal_000,L2,10,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",1,planned,,
act_formal_001,L1,1,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",2,planned,,
act_formal_002,L4,5,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",3,planned,,
act_formal_003,L5,8,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",4,planned,,
act_formal_004,L4,3,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",5,planned,,
act_formal_005,L5,2,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",6,planned,,
act_formal_006,L4,6,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",7,planned,,
act_formal_007,L1,5,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",8,planned,,
act_formal_008,L1,10,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",9,planned,,
act_formal_009,L2,6,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",10,planned,,
act_formal_010,L2,9,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",11,planned,,
act_formal_011,L3,5,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",12,planned,,
act_formal_012,L3,2,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",13,planned,,
act_formal_013,L5,6,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",14,planned,,
