evaluation_id,planned_order,layout_id,repeat_id,seen_layout,checkpoint_step,control_fps,n_action_steps,temporal_ensemble_coeff,status,accepted,notes
ACT30K-FORMAL-001,1,L3,1,true,30000,25,1,0.01,recorded_pending_annotation,,2965 frames saved; operator outcome pending
ACT30K-FORMAL-002,2,U1,2,false,30000,25,1,0.01,recorded_pending_annotation,,2101 frames saved; operator outcome pending
ACT30K-FORMAL-003,3,L2,4,true,30000,25,1,0.01,recorded_pending_annotation,,1480 frames saved; operator outcome pending
ACT30K-FORMAL-004,4,L4,3,true,30000,25,1,0.01,recorded_pending_annotation,,2968 frames saved; operator outcome pending
ACT30K-FORMAL-005,5,U1,3,false,30000,25,1,0.01,recorded_pending_annotation,,1867 frames saved; operator outcome pending
ACT30K-FORMAL-006,6,L3,4,true,30000,25,1,0.01,recorded_pending_annotation,,1463 frames saved; operator outcome pending
ACT30K-FORMAL-007,7,U2,2,false,30000,25,1,0.01,recorded_pending_annotation,,2823 frames saved; operator outcome pending
ACT30K-FORMAL-008,8,L5,3,true,30000,25,1,0.01,recorded_pending_annotation,,1930 frames saved; operator outcome pending
ACT30K-FORMAL-009,9,U3,4,false,30000,25,1,0.01,recorded_pending_annotation,,2557 frames saved; operator outcome pending
ACT30K-FORMAL-010,10,L3,3,true,30000,25,1,0.01,recorded_pending_annotation,,631 frames saved; operator outcome pending
ACT30K-FORMAL-011,11,U3,1,false,30000,25,1,0.01,recorded_pending_annotation,,2973 frames saved; operator outcome pending
ACT30K-FORMAL-012,12,L4,4,true,30000,25,1,0.01,recorded_pending_annotation,,1161 frames saved; operator outcome pending
ACT30K-FORMAL-013,13,L1,1,true,30000,25,1,0.01,recorded_pending_annotation,,931 frames saved; operator outcome pending
ACT30K-FORMAL-014,14,L4,2,true,30000,25,1,0.01,recorded_pending_annotation,,696 frames saved; operator outcome pending
ACT30K-FORMAL-015,15,U2,1,false,30000,25,1,0.01,recorded_pending_annotation,,2351 frames saved; operator outcome pending
ACT30K-FORMAL-016,16,U3,2,false,30000,25,1,0.01,recorded_pending_annotation,,2862 frames saved; operator outcome pending
ACT30K-FORMAL-017,17,L2,2,true,30000,25,1,0.01,recorded_pending_annotation,,670 frames saved; operator outcome pending
ACT30K-FORMAL-018,18,U2,4,false,30000,25,1,0.01,recorded_pending_annotation,,812 frames saved; operator outcome pending
ACT30K-FORMAL-019,19,L4,1,true,30000,25,1,0.01,recorded_pending_annotation,,860 frames saved; operator outcome pending
ACT30K-FORMAL-020,20,L1,4,true,30000,25,1,0.01,recorded_pending_annotation,,2843 frames saved; operator outcome pending
ACT30K-FORMAL-021,21,U1,4,false,30000,25,1,0.01,recorded_pending_annotation,,2601 frames saved; operator outcome pending
ACT30K-FORMAL-022,22,L2,3,true,30000,25,1,0.01,recorded_pending_annotation,,2723 frames saved; operator outcome pending
ACT30K-FORMAL-023,23,L5,1,true,30000,25,1,0.01,recorded_pending_annotation,,2781 frames saved; operator outcome pending
ACT30K-FORMAL-024,24,L2,1,true,30000,25,1,0.01,recorded_pending_annotation,,1664 frames saved; operator outcome pending
ACT30K-FORMAL-025,25,L3,2,true,30000,25,1,0.01,recorded_pending_annotation,,1629 frames saved; operator outcome pending
ACT30K-FORMAL-026,26,U1,1,false,30000,25,1,0.01,recorded_pending_annotation,,2438 frames saved; operator outcome pending
ACT30K-FORMAL-027,27,L1,3,true,30000,25,1,0.01,recorded_pending_annotation,,656 frames saved; operator outcome pending
ACT30K-FORMAL-028,28,U2,3,false,30000,25,1,0.01,recorded_pending_annotation,,2089 frames saved; operator outcome pending
ACT30K-FORMAL-029,29,L1,2,true,30000,25,1,0.01,recorded_pending_annotation,,685 frames saved; operator outcome pending
ACT30K-FORMAL-030,30,L5,4,true,30000,25,1,0.01,recorded_pending_annotation,,1777 frames saved; operator outcome pending
ACT30K-FORMAL-031,31,L5,2,true,30000,25,1,0.01,recorded_pending_annotation,,1605 frames saved; operator outcome pending
ACT30K-FORMAL-032,32,U3,3,false,30000,25,1,0.01,recorded_pending_annotation,,2980 frames saved; operator outcome pending
