episode_id,layout_id,repeat_id,first_color,second_color,task,planned_order,status,accepted,notes
act_pilot_000,L1,3,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",1,recorded,true,Local pilot; operator accepted with right arrow; QC PASS
act_pilot_001,L2,4,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",2,recorded,true,Local pilot; operator accepted with right arrow; QC PASS
act_pilot_002,L2,2,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",3,recorded,true,Local pilot; operator accepted with right arrow; QC PASS
act_pilot_003,L3,2,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",4,recorded,true,First attempt discarded with left arrow; rerecord accepted; QC PASS
act_pilot_004,L3,3,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",5,recorded,true,Local pilot; operator accepted with right arrow; QC PASS
act_pilot_005,L1,1,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",6,recorded,true,Local pilot; operator accepted with right arrow; QC PASS
act_pilot_006,L2,1,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",7,recorded,true,Local pilot; operator accepted with right arrow; QC PASS
act_pilot_007,L3,4,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",8,recorded,true,Local pilot; operator accepted with right arrow; QC PASS
act_pilot_008,L1,2,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",9,recorded,true,Local pilot; operator accepted with right arrow; QC PASS
act_pilot_009,L3,1,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",10,recorded,true,Local pilot; operator accepted with right arrow; QC PASS
act_pilot_010,L1,4,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",11,recorded,true,Local pilot; operator accepted with right arrow; QC PASS
act_pilot_011,L2,3,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",12,recorded,true,Local pilot; operator accepted with right arrow; QC PASS
